VALID,TURB,LAT,LON,color
202409010000,NEG CHOP,35.2225,-80.9543,b
202409010000,MOD 060-045,38.601,-77.0903,y
202409010001,CONS LGT CHOP,35.2225,-80.9543,g
202409010002,NEG CHOP,34.42,-82.78,b
202409010003,LGT CHOP,60.5,-145.47,g
202409010004,NEG CHOP,36.0975,-79.9436,b
202409010005,LGT,21.8583,-72.2094,g
202409010006,OCNL LGT CHOP,45.566,-95.9672,g
202409010007,NEG CHOP,35.2225,-80.4442,b
202409010007,NEG,36.0975,-79.9436,b
202409010007,LGT,30.78,-86.52,g
202409010008,NEG CHOP,34.9157,-81.9565,b
202409010013,OCNL LGT CHOP,34.9157,-81.9565,g
202409010015,LGT CHOP BLO 040,47.1595,-94.6453,g
202409010016,NEG,33.5655,-86.7449,b
202409010018,OCNL LGT CHOP,34.8058,-80.9543,g
202409010019,NEG,25.375,-77.9431,b
202409010019,NEG,33.0089,-85.3708,b
202409010020,MOD CHOP,41.709,-100.6086,y
202409010020,NEG,44.6252,-86.2008,b
202409010020,CONS LGT CHOP,29.7528,-78.7747,g
202409010021,CONS LGT 140-170,39.17,-76.66,g
202409010023,CONS LGT,35.4149,-115.6913,g
202409010025,NEG,47.1684,-88.4891,b
202409010026,NEG,46.0253,-91.4442,b
202409010026,NEG,41.5876,-89.4671,b
202409010026,NEG,30.4397,-82.0384,b
202409010027,NEG,46.5275,-90.1314,b
202409010027,MOD,55.7417,174.2847,y
202409010030,NEG 160,37.7416,-92.1407,b
202409010030,NEG,32.8547,-109.6353,b
202409010032,SM,40.497,-104.5818,k
202409010034,OCNL LT CHOP,38.7544,-84.4571,k
202409010039,CONS LGT CHOP-OCNL MOD CHOP,32.73,-98.0,g
202409010040,CONT LGT 270-200,42.06,-75.32,g
202409010040,LGT-MOD,40.6386,-73.7622,g
202409010040,NEG,37.3172,-79.9737,b
202409010040,OCNL LGT CHOP,26.6847,-79.4465,g
202409010041,CONS MOD,40.02,-80.82,y
202409010044,NEG,44.4794,-88.1367,b
202409010044,LGT-MOD CHOP,40.8,-74.82,g
202409010045,INTMT CHOP,29.1799,-81.0581,k
202409010050,NEG,62.8672,-153.5188,b
202409010050,NEG,62.8672,-153.5188,b
202409010050,NEG,44.8437,-87.4216,b
202409010058,OCNL LGT CHOP,31.8965,-86.1179,g
202409010058,LGT-MOD CHOP,39.14,-86.1802,g
202409010100,OCNL LGT CHOP,32.5161,-85.8317,g
202409010100,NEG,30.7825,-83.2767,b
202409010101,OCNL LITE CHOP,39.17,-76.66,k
202409010101,NEG,26.6847,-80.8456,b
202409010103,LGT-MOD OCNL CHOP,42.16,-76.14,g
202409010104,NEG,46.5275,-90.1314,b
202409010105,OCNL LGT,29.9417,-82.7745,g
202409010107,LGT,27.91,-84.5736,g
202409010108,CONS LGT CHOP,30.0602,-84.3513,g
202409010112,NEG,66.1611,-151.6426,b
202409010112,NEG,66.1611,-151.6426,b
202409010114,NEG,29.6917,-82.276,b
202409010116,NEG,25.3451,-78.8712,b
202409010122,NEG 030-130,35.9287,-83.8394,b
202409010122,CONS LGT CHOP,45.82,-96.16,g
202409010129,LGT,34.4521,-90.8131,g
202409010142,NEG,26.8328,-96.94,b
202409010146,LGT,32.8519,-96.8364,g
202409010147,NEG,46.8421,-92.1936,b
202409010150,CONS LGHT CHOP,42.2317,-79.2196,k
202409010152,CONS LGT CAT,36.8401,-106.8152,g
202409010152,LGT CHOP,38.64,-83.4068,g
202409010153,MOD TURB,33.3121,-112.1383,y
202409010156,NEG,28.5455,-81.3329,b
202409010201,NEG,57.04,-135.36,b
202409010201,NEG,57.04,-135.36,b
202409010214,CONS MOD CHOP,34.0565,-111.6968,y
202409010218,LGT CHOP 005,25.9102,-80.2828,g
202409010220,LGT-MOD,16.5826,143.5577,g
202409010222,LGT-MOD,39.2481,-108.1243,g
202409010232,NEG,39.4233,-86.54,b
202409010246,CONS LGT CHOP,45.6312,-89.4675,g
202409010300,LGHT CHOP,26.086,-80.2547,k
202409010308,LGT CHOP,38.75,-82.03,g
202409010311,MOD CHOP,27.5001,-78.78,y
202409010311,CONS LGT CHOP,33.0089,-85.0726,g
202409010312,INTMT LGT CHOP,40.31,-81.85,g
202409010328,LGT-MOD CHOP,41.3121,-105.675,g
202409010328,LGT CHOP,57.1357,177.832,g
202409010329,OCNL LGT CHOP,55.5033,178.7205,g
202409010331,NEG,56.5933,179.6594,b
202409010337,LT CHOP,36.0485,-80.0271,k
202409010404,LGT-MOD CHOP,40.29,-84.04,g
202409010408,NEG,32.9131,-80.1382,b
202409010408,MOD,42.491,-76.4584,y
202409010410,MOD,34.1015,-83.8756,y
202409010411,NEG,28.786,-82.0193,b
202409010412,INTMT LGT CHOP,38.84,-86.4454,g
202409010450,NEG,31.1522,-81.9751,b
202409010451,NEG,30.3361,-80.5491,b
202409010451,NEG,29.4426,-83.0561,b
202409010459,NEG,28.2798,-86.52,b
202409010508,LITTLE BUMPY,36.0485,-79.4749,k
202409010512,LGT 340-360 NEG ABV,15.7211,143.8801,g
202409010530,CONS LGT OCNL MOD,33.9431,-113.6591,g
202409010530,OCNL LGT,33.8376,-111.8662,g
202409010531,OCNL LGT,34.2364,-112.7078,g
202409010603,OCNL LGT,28.5455,-81.3329,g
202409010625,CONT LGT OCNL MOD,60.3084,-158.3022,g
202409010645,NEG,60.48,-146.6,b
202409010655,NEG,32.7927,-78.2152,b
202409010717,NEG,29.2779,-83.7789,b
202409010744,CONS LGT CHOP,24.5561,-81.3564,g
202409010802,NEG,29.6132,-86.52,b
202409010808,OCNL LGT CHOP,24.5561,-80.9349,g
202409010812,NEG,52.7141,174.1169,b
202409010814,NEG,40.15,-82.59,b
202409010834,LGT CHOP,52.7141,174.1169,g
202409010838,NEG,32.8986,-80.0405,b
202409010838,OCNL LGT,31.7249,-84.9131,g
202409010839,NEG,28.9177,-83.298,b
202409010848,NEG,47.1684,-88.4891,b
202409010851,MOD,13.5925,145.1326,y
202409010856,NEG,30.5155,-82.5769,b
202409010901,LGT,56.2166,-178.25,g
202409010902,NEG 360-190,64.7446,-146.0944,b
202409010906,NEG,30.6932,-87.0932,b
202409010909,NEG,24.4548,-81.1279,b
202409010912,NEG,57.45,-173.2,b
202409010920,NEG,27.8299,-80.4841,b
202409010930,NEG,40.15,-82.59,b
202409010937,OCNL LGT CHOP,42.4895,-73.6911,g
202409010944,LGT CHOP,41.67,-73.82,g
202409010946,CONS LGT CHOP,37.548,-82.779,g
202409010954,CONS LGT CHOP,44.2725,-86.2469,g
202409010958,INTMT LGT CHOP,36.7495,-82.2172,g
202409010959,NEG,43.2389,-76.2531,b
202409011000,LGT-MOD 060-180,46.2765,-65.6166,g
202409011002,NEG,42.54,-72.01,b
202409011009,NEG,24.5032,-79.3,b
202409011009,CONS LGT CHOP,38.2962,-82.5534,g
202409011011,CONS LGT CHOP,37.39,-83.26,g
202409011015,NEG,39.88,-82.58,b
202409011016,NEG,30.7269,-84.3513,b
202409011017,LGT CHOP,29.6917,-83.0435,g
202409011018,LGT CHOP,32.8118,-80.627,g
202409011023,CONS LGT CHOP,28.532,-86.724,g
202409011027,LGT CHOP,35.78,-84.98,g
202409011027,NEG,36.0262,-85.0335,b
202409011027,CONT LGT-MOD,56.3347,-133.8167,g
202409011028,LGT CHOP,35.9,-83.89,g
202409011029,NEG,34.94,-83.92,b
202409011030,LGT CHOP,28.4859,-80.8331,g
202409011030,NEG,27.6096,-80.6606,b
202409011031,LGT CHOP,27.1978,-78.5217,g
202409011034,MOD,42.833,-59.65,y
202409011037,OCNL MOD CHOP,37.7318,-82.0885,y
202409011039,CONS LGT CHOP,29.4054,-83.4839,g
202409011039,LGT CHOP,27.8366,-80.5544,g
202409011040,NEG,30.2146,-81.0924,b
202409011042,OCNL LGT CHOP,21.8855,-72.3318,g
202409011046,CONS LGT CHOP,33.7706,-85.9484,g
202409011048,NEG,33.4521,-85.1658,b
202409011050,CONS LGT CHOP,35.5358,-81.0939,g
202409011051,NEG,35.8297,-80.3387,b
202409011052,NEG,33.9486,-83.3264,b
202409011053,NEG,35.0353,-85.8145,b
202409011053,CONS LGT CHOP,36.0975,-79.9436,g
